api-1  | INFO:     Started server process [1]
api-1  | INFO:     127.0.0.1:55878 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53506 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43872 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:32944 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41276 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54498 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34502 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54908 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39498 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36730 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34872 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47744 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36778 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48040 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53900 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36306 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36230 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43576 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58032 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51378 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40044 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54452 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55498 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39616 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55880 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53638 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57244 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57400 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36932 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59730 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42896 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41490 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57364 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55422 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34564 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54942 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33552 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40726 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37194 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54374 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34540 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56078 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35472 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43774 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44126 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38288 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49696 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59682 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49202 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35770 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53968 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36240 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52682 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55398 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48392 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54668 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52390 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60858 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43180 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45652 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43860 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46896 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42676 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36656 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55074 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44532 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48674 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43460 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54602 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35866 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35888 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:49200 - "GET / HTTP/1.1" 404 Not Found
api-1  | INFO:     172.19.0.1:49200 - "GET /favicon.ico HTTP/1.1" 404 Not Found
api-1  | INFO:     172.19.0.1:49184 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:49200 - "GET /docs HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:49200 - "GET /openapi.json HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44944 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33796 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37556 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48324 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44738 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52598 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52104 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60884 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53566 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45316 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:47834 - "GET / HTTP/1.1" 404 Not Found
api-1  | INFO:     172.19.0.1:47834 - "GET /d%2B HTTP/1.1" 404 Not Found
api-1  | INFO:     172.19.0.1:33566 - "GET /docs HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:47820 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:33566 - "GET /openapi.json HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35052 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55662 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59276 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59386 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45804 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47092 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52300 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:54062 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40708 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49818 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:57064 - "POST /generate-policy HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     127.0.0.1:46424 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55182 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44072 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43926 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40762 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34230 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36382 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49178 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60872 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55216 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40662 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44882 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56960 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43340 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34782 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35638 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49632 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43098 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37508 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48782 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:55516 - "POST /ask HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     172.19.0.1:52150 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49652 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:46020 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49082 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34654 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48278 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39792 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33068 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:33178 - "POST /ask HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     127.0.0.1:43018 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:54560 - "POST /ask HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     127.0.0.1:41822 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43680 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36684 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41258 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53706 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35642 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49200 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53480 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54156 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44338 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54680 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40420 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60436 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55402 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60208 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37776 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45180 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45468 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45764 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44548 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47696 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55174 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48352 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52674 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43462 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41718 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56638 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38942 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43264 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51402 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41760 - "GET /health HTTP/1.1" 200 OK
